138,2,3,19,1263,98,41,1,10,29,20
44,1,1,11,62,1423,6,6,39,90,154
36,7,19,31,65,17,1475,0,2,4,4
4,0,0,1,0,0,1,1486,64,12,2
14,0,0,5,2,15,2,82,1117,195,16
28,0,0,8,3,39,3,42,209,1206,92
36,0,0,7,15,120,7,15,84,207,1112
1343,4,6,17,110,24,18,4,18,20,8
8,1356,79,98,0,2,8,0,1,1,1
13,75,1083,225,2,3,10,1,1,0,3
18,32,118,1166,0,2,9,0,3,0,1
135,4,5,18,1256,93,43,1,13,33,23
45,2,1,10,61,1430,6,4,43,91,144
33,7,19,30,61,20,1476,0,3,7,4
3,0,0,2,0,1,1,1485,67,9,2
12,0,1,3,1,19,2,83,1110,198,19
30,0,1,8,3,39,3,39,217,1192,98
35,0,0,5,15,128,6,15,81,222,1096
1328,6,7,19,116,22,20,7,23,18,6
8,1355,71,106,0,2,9,0,1,1,1
16,79,1082,220,2,2,10,1,1,0,3
21,36,113,1166,2,0,10,0,0,1,0
140,3,4,20,1259,87,39,1,14,31,26
47,2,1,13,65,1379,6,10,45,127,142
32,8,21,33,63,23,1471,0,3,4,2
3,0,0,2,0,2,1,1476,66,17,3
15,1,0,7,3,13,2,100,1070,219,18
39,0,0,10,4,37,3,48,204,1187,98
44,0,0,6,15,120,7,21,86,219,1085
1458,18,5,14,537,46,15,2,24,20,25
10,4833,97,176,23,2,12,0,0,1,3
5,223,1005,177,19,1,8,0,0,1,1
7,108,81,1037,49,3,9,0,2,0,0
248,17,2,26,12531,283,56,3,39,72,101
45,5,0,2,550,6260,9,5,103,120,348
10,30,22,16,300,21,2824,1,5,1,3
0,0,0,0,3,9,0,1930,98,14,9
9,2,0,2,32,60,1,105,2321,261,107
14,2,0,0,79,125,1,39,339,2264,374
35,4,0,3,207,433,2,22,195,258,4113
1634,13,5,11,354,37,12,3,19,18,18
11,3897,104,196,13,4,27,0,2,2,2
16,180,1029,171,9,1,13,0,0,1,0
20,85,79,1086,27,2,17,0,3,4,2
233,9,3,27,6961,251,70,1,31,49,75
63,1,0,1,262,4617,12,9,86,147,337
30,30,16,25,187,31,3037,0,6,5,5
0,0,0,0,0,3,0,1882,89,16,5
9,1,0,0,5,34,5,93,2384,287,72
25,3,0,6,22,84,2,38,341,2457,250
41,1,0,6,80,297,6,20,143,318,3281
1634,13,5,11,354,37,12,3,19,18,18
11,3897,104,196,13,4,27,0,2,2,2
16,180,1029,171,9,1,13,0,0,1,0
20,85,79,1086,27,2,17,0,3,4,2
233,9,3,27,6961,251,70,1,31,49,75
63,1,0,1,262,4617,12,9,86,147,337
30,30,16,25,187,31,3037,0,6,5,5
0,0,0,0,0,3,0,1882,89,16,5
9,1,0,0,5,34,5,93,2384,287,72
25,3,0,6,22,84,2,38,341,2457,250
41,1,0,6,80,297,6,20,143,318,3281
