,service_type,is_mix_service,online_time,1_total_fee,2_total_fee,3_total_fee,4_total_fee,month_traffic,many_over_bill,contract_type,contract_time,is_promise_low_consume,net_service,pay_times,pay_num,last_month_traffic,local_trafffic_month,local_caller_time,service1_caller_time,service2_caller_time,gender,age,complaint_level,former_complaint_num,former_complaint_fee,current_service,fee_mean,fee_std,fee_fluctuate,online_time_norm,fee_mean_norm,fee_fluctuate_norm,month_traffic_norm,contract_time_norm,pay_num_norm,last_month_traffic_norm,local_trafffic_month_norm,local_caller_time_norm,service1_caller_time_norm,service2_caller_time_norm,age_norm,former_complaint_num_norm,former_complaint_fee_norm,service1_caller_time_dimean,last_month_traffic_dimean,former_complaint_num_dimean,former_complaint_fee_dimean,user_id,fee_mean_2,fee_mean_2_norm
942,4,0,40,286.45,324.25,618.35,152.2,1000.5615939999999,1,0,0,0,4,12,320.0,0.0,978.273864,58.016667000000005,35.4,25.4,2,23,2,1,0,1,345.3125,170.11050600000002,-44.75,0.14285699999999998,0.075141,0.342605,0.006291,0.018868,0.016491,0.0,0.006037,0.012608,0.008361,0.0039020000000000005,0.232323,0.027027,0.0,1,0,1,0,FjPsfGE7z8KC1bAq,-251.975,0.564164
1002,4,0,60,191.8,220.0,160.1,196.0,2667.410676,0,1,24,0,4,1,200.0,0.0,2207.133029,59.88333299999999,0.0,119.11666699999999,2,25,0,0,0,14,191.975,21.316939,1.4,0.216117,0.041776,0.36348800000000003,0.01677,0.47169799999999995,0.010306999999999998,0.0,0.013621000000000001,0.013013999999999998,0.0,0.018298,0.252525,0.0,0.0,0,0,0,0,u2G0OwSyfYKVhvrZ,3.85,0.612491
1092,4,0,37,154.9,201.7,204.34,230.16,612.356892,1,0,0,0,4,2,250.0,0.0,612.3580360000001,27.483333000000002,0.0,29.1,1,36,0,0,0,1,197.775,27.136501000000003,25.086667000000002,0.131868,0.043038,0.374207,0.00385,0.018868,0.012884,0.0,0.003779,0.005973,0.0,0.00447,0.363636,0.0,0.0,0,0,0,0,iwFIndXhuVMY7k6U,-10.49,0.6097819999999999
1120,4,0,22,118.35,177.0,177.0,157.0,3072.0,0,1,24,0,4,4,130.15,0.0,4510.293989,272.433333,0.0,312.35,1,32,1,1,1000,11,157.3375,23.944554999999998,12.883333,0.076923,0.03424,0.368685,0.019313999999999998,0.47169799999999995,0.006706999999999999,0.0,0.027833999999999998,0.059207,0.0,0.047981,0.323232,0.027027,0.0017670000000000001,0,0,1,1,6r3eMXqxw5WGt0Vu,-39.325,0.6043350000000001
1174,4,1,18,33.3,33.0,33.0,53.0,500.0,0,2,12,0,4,2,1750.0,0.0,762.058745,125.316667,0.0,294.716667,1,42,0,0,0,5,38.075,8.617823,6.566667,0.06227100000000001,0.008289,0.36582600000000004,0.003144,0.245283,0.090185,0.0,0.004703,0.027233999999999998,0.0,0.045272,0.424242,0.0,0.0,0,0,0,0,6DdMEmn5wS2v0lKQ,10.15,0.613681
1197,4,0,10,70.38,61.27,51.05,101.0,934.793049,0,12,13,0,4,3,100.07,0.0,0.0,0.0,0.0,4.566667,1,33,0,0,0,4,70.925,18.661707,10.206667,0.032967,0.015437000000000001,0.367473,0.005877,0.264151,0.005157,0.0,0.0,0.0,0.0,0.0007019999999999999,0.333333,0.0,0.0,0,0,0,0,8nmjPiwIWuR429hf,29.53,0.6173420000000001
1322,4,0,60,202.0,322.1,136.0,76.1,2176.080059,1,1,24,0,4,1,100.0,0.0,2176.589999,40.466667,0.0,70.916667,1,40,0,0,0,4,184.05,91.298973,-41.966667,0.216117,0.040052,0.34386500000000003,0.013681,0.47169799999999995,0.0051530000000000005,0.0,0.013432,0.008794,0.0,0.010894,0.40404,0.0,0.0,0,0,0,0,7E9JsPt1nmyjqxgQ,-90.0,0.594762
1332,4,0,134,73.95,76.45,81.95,74.1,1554.632123,0,0,0,0,4,1,50.0,800.369266,1539.089664,80.483333,44.466667,36.016667,2,39,0,0,0,1,76.6125,3.237162,0.05,0.487179,0.016675,0.36287800000000003,0.009774,0.018868,0.002577,0.045977,0.009498000000000001,0.017491,0.010503,0.005533,0.393939,0.0,0.0,1,1,0,0,dM8SNezu70jmxbcF,-5.175,0.6107859999999999
1357,4,0,13,107.0,106.99,110.49,114.02,1130.4132960000002,0,1,24,0,4,1,77.0,576.446137,0.0,0.0,0.0,67.2,0,0,0,0,0,5,109.625,2.911104,2.34,0.043956,0.023858,0.36391399999999996,0.007107,0.47169799999999995,0.003968,0.033114,0.0,0.0,0.0,0.010323,0.0,0.0,0.0,0,1,0,0,RZpb3oNCdThw91eS,1.77,0.6120979999999999
1451,4,0,40,204.5,199.05,196.0,210.2,2670.955152,0,9,12,0,4,2,600.0,0.0,1474.788176,236.3,55.933333,334.533333,1,46,0,0,0,13,202.4375,5.418183999999999,1.9,0.14285699999999998,0.044052999999999995,0.363715,0.016791999999999998,0.245283,0.030920999999999997,0.0,0.009101,0.051354,0.013211,0.051389,0.464646,0.0,0.0,1,0,0,0,yZA5g0JLnC7tRjqf,9.825,0.6136189999999999
1477,4,0,68,492.86,385.72,515.96,413.57,4546.676727,1,0,0,0,4,1,0.08,0.0,3043.907488,46.5,0.733333,58.466667,1,0,0,0,0,12,452.0275,53.921983999999995,-26.43,0.245421,0.098361,0.35089499999999996,0.028585000000000003,0.018868,4e-06,0.0,0.018784,0.010106,0.000173,0.008981,0.0,0.0,0.0,1,0,0,0,FBTNYDeHzhgGpjoU,2.375,0.612212
1502,4,1,85,160.37,157.85,157.0,212.76,0.0,0,3,12,0,4,2,0.04,0.0,0.0,0.0,0.0,227.6,1,36,1,1,0,13,171.995,23.568289,17.463333,0.307692,0.037429000000000004,0.370757,0.0,0.245283,2e-06,0.0,0.0,0.0,0.0,0.034962,0.363636,0.027027,0.0,0,0,1,0,2Wlx4MIT7Choy6fz,29.14,0.617268
1571,4,0,53,193.3,171.85,140.0,140.0,3823.930749,0,0,0,1,4,7,410.05,0.0,3060.4124469999997,75.833333,22.066667000000002,177.51666699999998,1,30,0,0,0,4,161.2875,22.598019,-17.766667,0.190476,0.035099,0.354815,0.024041,0.018868,0.021131999999999998,0.0,0.018886,0.01648,0.005212,0.027268999999999998,0.30303,0.0,0.0,1,0,0,0,dxcOgqr6CmBz2KWl,10.725,0.613789
1598,4,0,235,361.74,147.4,837.28,303.34,1047.775162,0,1,24,0,4,2,5.06,1024.0,900.455589,167.333333,39.833333,177.8,1,55,0,0,0,14,412.44,257.49200299999995,-19.466667,0.857143,0.08974800000000001,0.354046,0.006587000000000001,0.47169799999999995,0.000261,0.058824,0.005557,0.036366,0.009408,0.027312,0.555556,0.0,0.0,1,1,0,0,lLrGWxndP152t7sM,-159.8,0.581577
1662,4,0,6,136.0,136.0,289.7,135.95,1262.4712650000001,0,1,24,1,4,1,100.0,800.0,1262.4712650000001,19.55,0.0,24.783333,2,44,0,0,0,4,174.4125,66.561272,-0.016666999999999998,0.018315,0.037955,0.362847,0.007937,0.47169799999999995,0.0051530000000000005,0.045956,0.007790999999999999,0.004249,0.0,0.003807,0.44444399999999995,0.0,0.0,0,1,0,0,6vAejh7iuPoGTXC4,-76.875,0.597241
1690,4,0,49,31.97,56.43,50.09,50.69,1050.0,0,0,0,0,4,1,80.0,0.0,1351.311565,19.516667,0.0,24.166667,2,31,1,1,20480,2,47.295,9.187517,6.24,0.175824,0.010295,0.365679,0.006601,0.018868,0.004123,0.0,0.008339,0.004241,0.0,0.0037119999999999996,0.313131,0.027027,0.036184,0,0,1,1,RmNCEYjwsrG3kWaz,-11.93,0.60951
1804,4,0,18,295.1,295.0,235.0,295.0,7106.634298999999,1,1,24,0,4,3,300.0,283.100366,5195.224186,41.783333,0.0,49.65,2,28,0,0,0,5,280.025,25.995228,-0.033333,0.06227100000000001,0.060935,0.36284,0.044680000000000004,0.47169799999999995,0.01546,0.016263,0.032061,0.009081,0.0,0.007626999999999999,0.282828,0.0,0.0,0,1,0,0,97Xgy2mqpOEYzj8a,30.05,0.61744
1841,4,0,33,196.0,196.0,196.0,255.7,3868.7796729999995,1,0,0,1,4,3,220.0,0.0,3798.552843,72.55,0.0,87.733333,2,27,0,0,0,14,210.925,25.850858,19.9,0.11721600000000001,0.0459,0.37185999999999997,0.024322999999999997,0.018868,0.011337999999999999,0.0,0.023441,0.015767,0.0,0.013477000000000001,0.272727,0.0,0.0,0,0,0,0,Iz1yx4W6n0fp3kYZ,29.85,0.617402
1880,4,0,69,205.3,150.0,164.9,145.0,8120.586055,0,3,12,1,4,3,200.0,1024.0,11445.050870000001,104.116667,0.0,104.466667,1,37,0,0,0,5,166.3,23.676676,-20.1,0.24908400000000003,0.03619,0.35375999999999996,0.051054,0.245283,0.010306999999999998,0.058824,0.070629,0.022627,0.0,0.016047,0.373737,0.0,0.0,0,1,0,0,JoEzgafHc69hU170,17.7,0.615107
1912,4,0,24,47.6,56.65,76.3,78.4,866.5910949999999,0,0,0,0,4,2,50.05,69.176191,867.287384,33.25,14.216667000000001,47.666667,2,27,0,0,0,1,64.7375,13.033197,10.266667,0.084249,0.014091,0.367501,0.005448,0.018868,0.002579,0.003974,0.005352,0.007226000000000001,0.003358,0.0073219999999999995,0.272727,0.0,0.0,1,1,0,0,eaKyI2iVlzk7QuxX,-3.475,0.611107
1951,4,0,61,106.0,174.55,244.0,321.45,897.3948550000001,0,0,0,0,4,2,200.0,0.0,0.0,0.0,0.0,187.9,2,30,0,0,0,5,211.5,80.063732,71.81666700000001,0.21978000000000003,0.046025,0.395352,0.005642,0.018868,0.010306999999999998,0.0,0.0,0.0,0.0,0.028863999999999997,0.30303,0.0,0.0,0,0,0,0,p0wNkdIyc4bB9uHj,4.45,0.612604
2143,4,0,63,79.9,79.0,79.0,83.05,698.984483,0,0,0,0,4,1,100.0,63.80284,0.0,0.0,0.0,81.633333,1,34,0,0,0,0,80.2375,1.6648479999999999,1.05,0.227106,0.017463,0.36333000000000004,0.0043950000000000005,0.018868,0.0051530000000000005,0.003665,0.0,0.0,0.0,0.01254,0.343434,0.0,0.0,0,1,0,0,6LDPZt9Ahyoqfbc1,2.475,0.6122310000000001
2288,4,0,30,60.5,117.8,126.0,126.0,514.398373,0,1,24,0,4,1,100.0,0.0,9.847011,1.366667,0.0,18.766667,1,52,0,0,0,6,107.575,27.384154,21.833333,0.106227,0.023412,0.372735,0.0032340000000000003,0.47169799999999995,0.0051530000000000005,0.0,6.1e-05,0.000297,0.0,0.0028829999999999997,0.525253,0.0,0.0,0,0,0,0,zVxGepAbr6UB9qXN,-28.65,0.606351
2351,4,0,90,275.0,274.96,277.85,275.46,6253.153631,0,1,24,0,4,1,200.0,5052.668369,6251.737725,208.066667,0.0,217.533333,1,35,0,0,0,12,275.8175,1.189798,0.153333,0.326007,0.060020000000000004,0.36292399999999997,0.039314,0.47169799999999995,0.010306999999999998,0.29025,0.03858,0.045218,0.0,0.033416,0.353535,0.0,0.0,0,1,0,0,VzLisCbYNhBq5xJ0,-1.175,0.611541
2485,4,0,53,774.55,375.2,304.2,172.0,0.0,1,9,12,0,4,3,1000.0,0.0,0.0,0.0,1624.65,751.383333,1,38,0,0,0,13,406.4875,224.66421200000002,-200.85,0.190476,0.088452,0.271969,0.0,0.245283,0.051534,0.0,0.0,0.0,0.383736,0.115423,0.383838,0.0,0.0,1,0,0,0,EBXczQ4fe3a597TW,133.575,0.636996
2945,4,0,134,57.95,40.85,42.95,68.15,405.47185,1,0,0,0,4,2,60.0,0.0,350.695094,81.116667,58.566667,35.916667,1,46,0,0,0,2,52.475,11.197628,3.4,0.487179,0.011422,0.36439299999999997,0.002549,0.018868,0.003092,0.0,0.002164,0.017629,0.013833000000000002,0.005517,0.464646,0.0,0.0,1,0,0,0,HrLfMlD8vWn0wOFk,21.15,0.6157590000000001
2970,4,0,81,240.05,262.15,188.45,242.0,1591.636966,0,9,12,0,4,2,300.05,15.562567000000001,1290.445222,235.73333300000002,429.733333,380.9,1,41,0,0,0,5,233.1625,27.226007,0.65,0.29304,0.050738,0.363149,0.010006999999999999,0.245283,0.015463,0.0008939999999999999,0.007964,0.05123099999999999,0.101501,0.058511,0.414141,0.0,0.0,1,1,0,0,JoaA7KSUu1nfFQZO,15.725,0.614734
3011,4,0,20,77.3,0.0,-0.05,56.0,95.599319,0,0,0,0,2,4,140.0,0.0,94.94579300000001,82.016667,109.5,63.816667,1,41,0,0,0,6,33.3125,34.177485,-7.1,0.069597,0.007253,0.359642,0.000601,0.018868,0.007215000000000001,0.0,0.000586,0.017824,0.025863,0.009803000000000001,0.414141,0.0,0.0,1,0,0,0,5ve0OtjGdWERF8Mh,66.675,0.624359
3060,4,0,22,202.85,180.55,395.0,218.3,27798.511789999997,0,3,12,0,4,3,200.0,0.0,28077.44513,470.7,235.65,303.5,1,28,0,0,0,12,249.175,85.254901,5.15,0.076923,0.054223,0.365185,0.17477,0.245283,0.010306999999999998,0.0,0.17327,0.10229500000000001,0.05566,0.046622000000000004,0.282828,0.0,0.0,1,0,0,0,OdSKg2DNs0Yjrof1,-77.2,0.59718
3082,4,0,34,76.0,76.0,85.15,78.4,385.387218,0,1,24,0,4,1,50.0,950.0,354.526233,29.6,0.0,54.516667000000005,2,47,0,0,0,6,78.8875,3.74606,0.8,0.120879,0.017169999999999998,0.363217,0.0024230000000000002,0.47169799999999995,0.002577,0.054573,0.002188,0.0064329999999999995,0.0,0.008374,0.47474700000000003,0.0,0.0,0,1,0,0,07L9qOmIDRabCWHX,-3.375,0.6111260000000001
3094,4,0,20,202.2,194.0,245.2,305.2,8761.701467,1,9,12,0,4,2,200.0,0.0,8832.726655,36.683333000000005,0.0,83.733333,1,27,0,0,0,5,236.65,44.09657,34.333333,0.069597,0.051497,0.378391,0.055085,0.245283,0.010306999999999998,0.0,0.054508,0.007972,0.0,0.012863,0.272727,0.0,0.0,0,0,0,0,1WpBCntlAkz0iPKw,34.1,0.618205
3188,4,0,134,78.95,184.45,154.3,79.0,568.381902,0,0,0,0,4,4,300.05,0.0,568.377201,25.6,0.0,157.6,1,51,0,0,0,4,124.175,46.439941,0.016666999999999998,0.487179,0.027024,0.36286199999999996,0.003573,0.018868,0.015463,0.0,0.003508,0.005564,0.0,0.024209,0.515152,0.0,0.0,0,0,0,0,Ik8ej9W0hoyOs23G,-90.4,0.5946859999999999
3204,4,0,102,385.0,399.4,401.0,170.95,5249.996682999999,1,3,12,0,4,4,380.0,0.0,4198.950102000001,147.316667,0.0,261.25,1,37,0,0,0,14,339.0875,97.27401,-71.35,0.369963,0.073787,0.330569,0.033007,0.245283,0.019583,0.0,0.025912,0.032016,0.0,0.040131,0.373737,0.0,0.0,0,0,0,0,l5EYt4umXFVSTsc1,-122.225,0.588675
3473,4,0,63,81.05,159.84,81.98,80.99,1435.296304,0,0,0,0,4,2,159.84,782.425708,100.428202,0.0,0.0,5.95,0,0,0,0,0,14,100.965,33.993763,-0.02,0.227106,0.021973,0.362846,0.009023999999999999,0.018868,0.008237000000000001,0.044946,0.00062,0.0,0.0,0.0009140000000000001,0.0,0.0,0.0,0,1,0,0,QzPdD58OyTl0rFhb,-39.89,0.604228
3529,4,0,84,205.0,169.9,154.0,163.81,2497.250708,0,0,0,0,4,2,200.0,0.0,3405.213646,19.05,0.0,70.133333,2,33,0,0,0,14,173.1775,19.228495000000002,-13.73,0.304029,0.037686000000000004,0.356642,0.0157,0.018868,0.010306999999999998,0.0,0.021013999999999998,0.00414,0.0,0.010773,0.333333,0.0,0.0,0,0,0,0,Ec9fJgwaKQCFzYil,22.455,0.616005
3590,4,0,65,146.1,197.0,140.0,146.3,4096.0,0,9,12,1,4,1,100.0,0.0,28557.48775,30.016666999999998,0.0,97.2,2,27,0,0,0,14,157.35,23.031554,0.06666699999999999,0.23443200000000003,0.034242,0.362885,0.025751999999999997,0.245283,0.0051530000000000005,0.0,0.176233,0.006523,0.0,0.014931,0.272727,0.0,0.0,0,0,0,0,ZuaYyh694o07cpA8,-22.3,0.6075510000000001
3604,4,0,74,106.0,106.0,106.0,106.0,1400.7700949999999,0,3,12,0,4,4,300.0,1024.0,214.483481,0.8,0.0,36.55,1,45,0,0,0,4,106.0,0.0,0.0,0.267399,0.023069,0.36285500000000004,0.008806999999999999,0.245283,0.01546,0.058824,0.001324,0.000174,0.0,0.005615,0.454545,0.0,0.0,0,1,0,0,Eme8yApRGY05Ib2Z,0.0,0.6117630000000001
3654,4,0,72,125.93,111.65,106.0,223.02,1730.2829570000001,0,3,12,0,3,3,55.07,0.0,1536.3910720000001,5.766667,0.0,31.866667,1,27,0,0,0,5,141.65,47.537138,32.363333000000004,0.260073,0.030826,0.3775,0.010878,0.245283,0.002838,0.0,0.009481,0.001253,0.0,0.004895,0.272727,0.0,0.0,0,0,0,0,RPujgBXKochlJq3m,65.65,0.624165
3706,4,0,29,285.0,286.5,303.85,338.35,2357.42092,1,0,0,0,4,3,400.0,8192.0,388.706752,2.85,0.0,379.15,2,32,0,0,0,14,303.425,21.481809,17.783333,0.10256400000000002,0.066027,0.370902,0.014821,0.018868,0.020613999999999997,0.470588,0.0023989999999999997,0.0006190000000000001,0.0,0.058242999999999996,0.323232,0.0,0.0,0,1,0,0,Rjm7stUwNdoCK9Xb,16.5,0.61488
3719,4,0,50,50.0,50.0,80.0,80.0,301.429401,0,12,26,0,4,1,300.0,651.5700429999999,301.429401,8.566667,0.0,8.566667,1,46,0,0,0,0,65.0,15.0,10.0,0.17948699999999998,0.014147999999999999,0.36738000000000004,0.001895,0.509434,0.01546,0.037429000000000004,0.00186,0.0018620000000000002,0.0,0.0013160000000000001,0.464646,0.0,0.0,0,1,0,0,OudofNAtgJBT1kIC,0.0,0.6117630000000001
3832,4,0,83,48.21,169.42,166.71,191.46,3245.9895469999997,0,1,24,0,4,2,0.09,0.0,60.821385,1.616667,0.0,266.95,1,32,1,2,20000,12,143.95,56.102777,47.75,0.30036599999999997,0.031327,0.38446199999999997,0.020408000000000003,0.47169799999999995,5e-06,0.0,0.000375,0.00035099999999999997,0.0,0.041007,0.323232,0.054054,0.035336,0,0,1,1,09zMoiwFy1EKWvQa,-48.23,0.602653
3909,4,0,83,253.73,287.96,194.36,221.8,3768.609751,1,12,12,0,4,1,0.02,0.0,2420.150884,268.216667,178.6,398.066667,2,37,0,0,0,14,239.4625,35.006315,-10.643333,0.30036599999999997,0.052109,0.358039,0.023693000000000002,0.245283,1e-06,0.0,0.014934999999999999,0.058289999999999995,0.042185,0.061148,0.373737,0.0,0.0,1,0,0,0,qtMmv2hYVAge96Kj,-3.395,0.611122
4156,4,0,48,165.0,155.0,171.13,234.0,3309.192296,0,1,24,0,4,2,200.0,0.0,5342.465859,11.166667,0.0,30.866667,1,26,0,0,0,14,181.2825,30.976190999999996,23.0,0.17216099999999998,0.03945,0.373263,0.020805,0.47169799999999995,0.010306999999999998,0.0,0.032969,0.002427,0.0,0.0047420000000000006,0.262626,0.0,0.0,0,0,0,0,PBU4qoeabumi0nTX,36.435,0.618646
4257,4,0,57,265.93,266.0,266.0,266.0,8618.087309999999,0,1,24,0,4,2,0.07,5120.0,7554.2452920000005,273.7,0.0,316.716667,1,36,0,0,0,12,265.9825,0.030311,0.023333,0.20512800000000003,0.057879999999999994,0.362865,0.05418200000000001,0.47169799999999995,4e-06,0.294118,0.046618,0.05948200000000001,0.0,0.048652,0.363636,0.0,0.0,0,1,0,0,A7HtOKcdCEwfYg2P,-0.035,0.611757
4531,4,0,54,132.23,143.75,155.95,114.9,185.019406,0,1,24,0,4,1,0.07,1024.0,185.019406,392.383333,0.0,407.7,1,48,0,0,0,5,136.7075,15.128497,-5.776667,0.194139,0.029751,0.360241,0.001163,0.47169799999999995,4e-06,0.058824,0.001142,0.085275,0.0,0.062628,0.48484799999999995,0.0,0.0,0,1,0,0,zLmqAgJOGv05t4hF,-26.285,0.606798
4571,4,0,174,191.7,147.81,158.15,287.14,0.0,0,0,0,0,4,2,180.85,0.0,922.173266,57.416667000000004,11.033333,64.9,0,0,0,0,0,5,196.2,54.953908,31.813333,0.6337,0.042696,0.377251,0.0,0.018868,0.00932,0.0,0.005691,0.012478,0.002606,0.00997,0.0,0.0,0.0,1,0,0,0,6xjUYfRmSrWn7Cep,86.44,0.628092
4607,4,0,25,146.0,160.0,155.0,146.0,1676.5282849999999,1,3,12,0,4,4,280.0,0.0,1064.081907,2.65,0.0,3.5333330000000003,1,22,0,0,0,14,151.75,6.015605,0.0,0.087912,0.033024,0.36285500000000004,0.01054,0.245283,0.014430000000000002,0.0,0.006567,0.000576,0.0,0.000543,0.22222199999999998,0.0,0.0,0,0,0,0,uv1l9t5wisLedbrB,-11.5,0.609591
4631,4,0,29,222.0,37.2,0.0,79.8,1219.455721,0,0,0,0,4,1,200.0,0.0,1215.831999,1.183333,0.0,1.183333,1,0,0,0,0,3,84.75,84.121386,-47.4,0.10256400000000002,0.018445,0.341406,0.007667,0.018868,0.010306999999999998,0.0,0.007503,0.00025699999999999996,0.0,0.000182,0.0,0.0,0.0,0,0,0,0,XL7nFSrjYVgwGOBC,132.3,0.636756
4693,4,0,70,191.77,299.21,169.72,205.3,3130.8151629999998,0,1,36,0,4,1,0.03,797.4354900000001,1032.216926,9.15,0.0,312.816667,1,39,0,0,0,13,216.5,49.41236,4.51,0.252747,0.047113,0.364896,0.019684,0.698113,2e-06,0.045808999999999996,0.006370000000000001,0.001989,0.0,0.048053,0.393939,0.0,0.0,0,1,0,0,q3R0uZgdBXOwcv5z,-35.93,0.6049760000000001
4774,4,0,39,153.85,302.5,210.95,272.95,2414.19277,0,9,12,0,4,3,300.0,0.0,279.869798,4.15,14.766667000000002,415.25,1,30,0,0,0,14,235.0625,57.358874,39.7,0.139194,0.051151999999999996,0.380819,0.015178,0.245283,0.01546,0.0,0.001727,0.0009019999999999999,0.003488,0.063788,0.30303,0.0,0.0,1,0,0,0,jaPL3ezgs9JbnYTR,-43.325,0.603579
4785,4,0,29,56.0,55.95,56.0,77.5,2118.167937,1,0,0,1,4,6,110.0,0.0,1717.529625,10.316667,166.8,47.633333,1,25,1,2,15420,1,61.3625,9.317012,7.1666669999999995,0.10256400000000002,0.013356,0.366098,0.013316999999999999,0.018868,0.0056689999999999996,0.0,0.010598999999999999,0.002242,0.039398,0.007317000000000001,0.252525,0.054054,0.027244,1,0,1,1,djDJgvGwnW13aFoT,10.775,0.613799
4932,4,0,65,211.9,151.9,142.1,152.0,9892.0099,0,1,24,1,4,2,120.0,222.434011,7640.47283,51.916667,0.0,119.55,1,34,0,0,0,14,164.475,27.674571000000004,-19.966667,0.23443200000000003,0.035793,0.35381999999999997,0.062190999999999996,0.47169799999999995,0.006184,0.012778,0.047151,0.011283,0.0,0.018364,0.343434,0.0,0.0,0,1,0,0,scgCd5mAqoXt6Z7S,34.95,0.618366
